rid,singer,title,clean_title,occurrences,appeared
553695612,刀郎,大江南,大江南,1,1
143634,刀郎,冲动的惩罚,冲动的惩罚,0,0
288010103,刀郎,花妖,花妖,0,0
295234,刀郎,西海情歌 (Live),西海情歌,0,0
129386,刀郎,披着羊皮的狼,披着羊皮的狼,1,1
981274,刀郎,谢谢你,谢谢你,9,1
90519,刀郎,情人,情人,3,1
288010079,刀郎,翩翩,翩翩,0,0
90516,刀郎,驼铃,驼铃,2,1
288010051,刀郎,颠倒歌,颠倒歌,0,0
15890524,刀郎,守候在凌晨两点的伤心秀吧,守候在凌晨两点的伤心秀吧,6,1
376964,刀郎,我的祖国,我的祖国,0,0
90517,刀郎,雨中飘荡的回忆,雨中飘荡的回忆,0,0
589505,刀郎,喀什噶尔胡杨 (Demo珍藏版),喀什噶尔胡杨,0,0
1084311,刀郎,黄玫瑰,黄玫瑰,2,1
376966,刀郎,映山红,映山红,14,1
143640,刀郎,情人,情人,3,1
6006093,刀郎,永远的兄弟,永远的兄弟,0,0
550484912,刀郎,鸿雁于飞,鸿雁于飞,3,1
288010113,刀郎,镜听,镜听,0,0
77861,王杰,忘了你忘了我,忘了你忘了我,3,1
312328,王杰,不浪漫罪名,不浪漫罪名,0,0
71743,王杰,我是真的爱上你,我是真的爱上你,3,1
152958,王杰,谁明浪子心,谁明浪子心,0,0
77852,王杰,一场游戏一场梦,一场游戏一场梦,4,1
78721,王杰,为了爱梦一生,为了爱梦一生,3,1
216456,王杰,伤心1999,伤心1999,2,1
78024,王杰,英雄泪,英雄泪,2,1
77845,王杰,安妮,安妮,12,1
77871,王杰,是否我真的一无所有,是否我真的一无所有,8,1
77872,王杰,她的背影,她的背影,2,1
59147135,王杰,忘了你忘了我,忘了你忘了我,3,1
391758421,王杰,忘了你，忘了我,忘了你，忘了我,3,1
51556875,王杰,祈祷,祈祷,2,1
7082157,王杰,一场游戏一场梦,一场游戏一场梦,4,1
237848,王杰,一场游戏一场梦,一场游戏一场梦,4,1
86752,王杰,谁明浪子心,谁明浪子心,0,0
1690909,王杰,忘了你，忘了我,忘了你，忘了我,3,1
329097,王杰,封锁我一生,封锁我一生,2,1
78694,王杰,忘了你忘了我,忘了你忘了我,3,1
145584145,王杰,伤心1999 (3D环绕版),伤心1999 (3D环绕版),0,0
87006,王杰,我是真的爱上你,我是真的爱上你,3,1
152964,王杰,一无所有 (是否我真的一无所有),一无所有 (是否我真的一无所有),0,0
77851,王杰,一场游戏一场梦 II,一场游戏一场梦 II,0,0
78036,王杰,红尘有你,红尘有你,8,1
61997,任贤齐,伤心太平洋,伤心太平洋,0,0
324884,任贤齐,心太软,心太软,12,1
1027368,任贤齐,天涯,天涯,10,1
61990,任贤齐,我是一只鱼,我是一只鱼,4,1
401023,任贤齐,伤心太平洋 (Live),伤心太平洋,0,0
237413,任贤齐,还有我,还有我,3,1
38044116,任贤齐,流着泪的你的脸,流着泪的你的脸,8,1
1027367,任贤齐,死不了,死不了,8,1
151087,任贤齐,心太软,心太软,12,1
62019,任贤齐,橘子香水,橘子香水,3,1
51450795,任贤齐,天涯 (Live),天涯,8,1
62008,任贤齐,花太香,花太香,2,1
665163,任贤齐,兄弟,兄弟,5,1
62020,任贤齐,流着泪的你的脸,流着泪的你的脸,8,1
38048760,任贤齐,兄弟 (Live),兄弟,5,1
61987,任贤齐,沧海一声笑,沧海一声笑,0,0
28680848,任贤齐,浪花一朵朵,浪花一朵朵,4,1
62021,任贤齐,春天花会开,春天花会开,2,1
324875,任贤齐,只爱你一个人,只爱你一个人,5,1
74659,任贤齐,伤心太平洋,伤心太平洋,0,0
223322,任贤齐,花好月圆夜,花好月圆夜,4,1
151075,任贤齐,天涯,天涯,10,1
264325284,任贤齐,伤心太平洋 (Live),伤心太平洋,0,0
67901186,任贤齐,心太软,心太软,12,1
324879,任贤齐,哭个痛快,哭个痛快,10,1
140897945,张韶涵,破茧,破茧,2,1
389528329,张韶涵,暮色回响,暮色回响,0,0
291598,张韶涵,隐形的翅膀,隐形的翅膀,4,1
218798912,张韶涵,篇章,篇章,0,0
40098317,张韶涵,阿刁 (Live),阿刁,9,1
443562738,张韶涵,无名的人,无名的人,6,1
324865,张韶涵,快乐崇拜,快乐崇拜,6,1
4597352,张韶涵,淋雨一直走,淋雨一直走,8,1
344896,张韶涵,亲爱的，那不是爱情,亲爱的，那不是爱情,0,0
222675197,张韶涵,一路生花 (Live),一路生花,8,1
2863563,张韶涵,有形的翅膀,有形的翅膀,3,1
100101,张韶涵,欧若拉,欧若拉,4,1
109992,张韶涵,如果的事,如果的事,3,1
618486778,张韶涵,遗忘之海（Sea of Remnants）,遗忘之海（Sea of Remnants）,0,0
447376808,张韶涵,大小孩,大小孩,0,0
85412,张韶涵,寓言,寓言,4,1
512915150,张韶涵,昔涟,昔涟,0,0
90460991,张韶涵,黎明前的黑暗 (Live),黎明前的黑暗,0,0
85404,张韶涵,遗失的美好,遗失的美好,6,1
86767608,张韶涵,红红的太阳,红红的太阳,8,1
123122,张韶涵,香水百合,香水百合,4,1
45813753,张韶涵,快乐崇拜,快乐崇拜,6,1
384351210,张韶涵,稻香 (Live),稻香,6,1
278825068,张韶涵,明天会更好 (Live),明天会更好,5,1
154379563,张韶涵,隐形的翅膀 (3D环绕版),隐形的翅膀 (3D环绕版),0,0
40831785,张信哲,过火,过火,0,0
51386354,张信哲,爱如潮水,爱如潮水,6,1
78988,张信哲,别怕我伤心,别怕我伤心,3,1
993960,张信哲,爱就一个字,爱就一个字,6,1
322009,张信哲,信仰,信仰,7,1
40830819,张信哲,过火,过火,0,0
4078945,张信哲,别怕我伤心,别怕我伤心,3,1
108414,张信哲,太想爱你,太想爱你,9,1
1024574,张信哲,有一点动心,有一点动心,4,1
4826617,张信哲,爱如潮水,爱如潮水,6,1
108524,张信哲,不要对他说,不要对他说,8,1
110919,张信哲,信仰,信仰,7,1
168540310,张信哲,有一点动心,有一点动心,4,1
994137,张信哲,宽容,宽容,3,1
4826628,张信哲,别怕我伤心,别怕我伤心,3,1
40969594,张信哲,有一点动心,有一点动心,4,1
22837975,张信哲,难以抗拒你容颜,难以抗拒你容颜,8,1
1025738,张信哲,从开始到现在,从开始到现在,0,0
6906501,张信哲,信仰 (Live),信仰,7,1
1062369,张信哲,信仰,信仰,7,1
40834961,张信哲,用情,用情,6,1
40832193,张信哲,爱就一个字,爱就一个字,6,1
108391,张信哲,用情,用情,6,1
152168,谭咏麟,讲不出再见,讲不出再见,4,1
101700,谭咏麟,披着羊皮的狼,披着羊皮的狼,1,1
22846462,谭咏麟,讲不出再见,讲不出再见,4,1
54498,谭咏麟,一生中最爱,一生中最爱,2,1
30357340,谭咏麟,小珊瑚,小珊瑚,3,1
54394,谭咏麟,朋友,朋友,5,1
152274,谭咏麟,梦仍是一样,梦仍是一样,3,1
152150,谭咏麟,水中花,水中花,0,0
152464,谭咏麟,难舍难分,难舍难分,0,0
22862655,谭咏麟,卡拉永远OK (Future Underworld Mix),卡拉永远OK (Future Underworld Mix),0,0
2837466,谭咏麟,爱多一次痛多一次,爱多一次痛多一次,3,1
6683591,谭咏麟,一生中最爱,一生中最爱,2,1
54416,谭咏麟,无言感激,无言感激,0,0
112987,谭咏麟,卡拉永远OK,卡拉永远OK,3,1
225816000,谭咏麟,前,前,9,1
3621069,谭咏麟,爱在深秋,爱在深秋,0,0
1701617,谭咏麟,水中花,水中花,0,0
54390,谭咏麟,爱情陷阱,爱情陷阱,0,0
537676,谭咏麟,活得潇洒,活得潇洒,2,1
113012,谭咏麟,再见亦是泪!?,再见亦是泪!?,1,1
162184869,谭咏麟,讲不出再见 (3D环绕版),讲不出再见 (3D环绕版),0,0
1014354,谭咏麟,也曾相识,也曾相识,0,0
152195,谭咏麟,再见亦是泪!?,再见亦是泪!?,1,1
21765044,谭咏麟,明天会更好,明天会更好,0,0
3809725,谭咏麟,总有你鼓励,总有你鼓励,0,0
521282545,陈小春,街角的晚风,街角的晚风,0,0
588310067,陈小春,借过一下 (Live),借过一下,1,1
381027,陈小春,独家记忆,独家记忆,0,0
6763670,陈小春,相依为命,相依为命,0,0
455591,陈小春,算你狠,算你狠,2,1
3207568,陈小春,乱世巨星,乱世巨星,0,0
23542369,陈小春,我爱的人,我爱的人,4,1
336113,陈小春,算你狠,算你狠,2,1
259468250,陈小春,中国梦·我的梦,中国梦·我的梦,0,0
455582,陈小春,离不开你,离不开你,6,1
541954309,陈小春,街角的晚风 (2026东方卫视春节晚会现场),街角的晚风,0,0
54248297,陈小春,友情岁月,友情岁月,0,0
238204,陈小春,算你狠,算你狠,2,1
6763660,陈小春,神啊 救救我,神啊 救救我,6,1
30331134,陈小春,独家记忆,独家记忆,0,0
539854,陈小春,战无不胜,战无不胜,2,1
186613063,陈小春,真的汉子,真的汉子,4,1
216626966,陈小春,大道有情,大道有情,0,0
1076364,陈小春,热血燃烧,热血燃烧,0,0
6762950,陈小春,叱咤红人,叱咤红人,0,0
142988,陈小春,0932,0932,10,1
86999,陈小春,相依为命,相依为命,0,0
579881453,陈小春,要你管 X 算你狠 (Live),要你管 X 算你狠,0,0
3565395,陈小春,相依为命,相依为命,0,0
794477,陈小春,没那种命,没那种命,5,1
465829,梁静茹,情歌,情歌,4,1
164700,梁静茹,勇气,勇气,6,1
334795,梁静茹,会呼吸的痛,会呼吸的痛,4,1
213973,梁静茹,暖暖,暖暖,6,1
96604,梁静茹,宁夏,宁夏,1,1
326438,梁静茹,给未来的自己,给未来的自己,2,1
3911424,梁静茹,可惜不是你,可惜不是你,3,1
82767,梁静茹,勇气,勇气,6,1
69319382,梁静茹,慢冷,慢冷,3,1
22841403,梁静茹,问,问,1,1
28869184,梁静茹,分手快乐,分手快乐,4,1
934086,梁静茹,会呼吸的痛,会呼吸的痛,4,1
1553776,梁静茹,爱久见人心,爱久见人心,3,1
